policy_number,policy_deductible,policy_annual_premium,umbrella_limit,insured_age,incident_hour_of_the_day,collision_type,number_of_vehicles,total_claim_amount,fraud_reported
POL32426,2000,1616,150000,23,5,Rollover,3,9783,No
POL98587,1000,2466,150000,33,4,Hit & Run,5,1586,Yes
POL12617,500,2404,50000,20,16,Front Collision,5,15084,Yes
POL92971,1000,635,100000,32,12,Rear-End,3,7448,No
POL49712,2000,1296,100000,45,22,Rollover,1,12951,No
POL36586,500,2377,50000,65,13,Hit & Run,2,12562,No
POL78831,1000,1073,100000,55,10,Hit & Run,1,1735,No
POL70897,2000,2139,150000,66,6,Rear-End,2,3039,No
POL58819,2000,2760,100000,26,5,Front Collision,2,19668,No
POL82105,500,2361,150000,70,15,Rollover,1,12335,No
POL62088,1000,2344,50000,51,7,Rollover,1,12086,No
POL15172,1000,2223,150000,76,16,Hit & Run,3,12372,No
POL86109,1000,907,150000,75,21,Side Impact,4,9087,No
POL33543,1000,770,150000,37,23,Side Impact,5,11930,No
POL20386,1000,1043,50000,18,9,Rear-End,3,1631,No
POL37622,1000,2362,100000,41,12,Rear-End,3,8020,No
POL14815,1000,1034,150000,80,11,Rear-End,3,13435,No
POL42868,500,1233,50000,30,20,Side Impact,3,17883,No
POL51219,500,2513,50000,78,7,Front Collision,4,14289,No
POL70879,2000,657,100000,39,23,Front Collision,2,7224,No
POL82829,500,1965,150000,76,1,Hit & Run,2,10494,Yes
POL55320,500,664,100000,35,12,Rear-End,4,1124,No
POL94919,1000,1081,100000,36,19,Front Collision,4,4883,Yes
POL39826,1000,850,50000,44,21,Rollover,4,19791,No
POL65465,500,524,50000,38,0,Side Impact,2,6557,No
POL49914,500,698,100000,72,10,Rollover,4,9049,No
POL95051,2000,1352,150000,71,17,Rear-End,4,11656,Yes
POL47391,2000,2582,100000,73,22,Rear-End,2,16554,No
POL62511,2000,1963,150000,19,1,Front Collision,4,15401,Yes
POL30307,2000,1007,150000,41,22,Hit & Run,4,2149,No
POL59494,1000,2403,150000,63,9,Rear-End,5,6887,No
POL29574,1000,2348,150000,28,16,Side Impact,3,16235,No
POL80603,1000,632,150000,54,6,Side Impact,3,10290,No
POL79694,2000,1242,150000,21,6,Hit & Run,2,1085,No
POL11293,500,1280,50000,29,13,Side Impact,2,11588,No
POL12259,500,1285,50000,68,14,Rollover,1,13625,No
POL52987,1000,1590,150000,52,6,Front Collision,3,12451,No
POL66074,500,2165,150000,61,20,Rollover,3,14694,No
POL67994,1000,1010,50000,70,23,Rollover,3,13844,No
POL76488,2000,1942,100000,42,16,Hit & Run,5,9742,No
POL13816,2000,1254,150000,23,7,Front Collision,3,18405,No
POL37772,1000,2000,150000,44,17,Hit & Run,3,17909,No
POL76012,500,2009,100000,50,7,Rollover,2,12979,No
POL24937,1000,850,50000,71,16,Rollover,3,9276,No
POL36605,500,1379,50000,52,18,Rollover,1,6027,No
POL26248,500,2949,150000,46,0,Rear-End,3,14669,Yes
POL18095,1000,1535,50000,56,14,Front Collision,3,13167,No
POL74790,1000,2002,100000,78,2,Front Collision,2,7414,No
POL20319,500,2131,50000,39,2,Hit & Run,1,3024,Yes
POL65470,500,744,50000,72,15,Hit & Run,2,2929,No
POL51918,1000,1855,50000,76,22,Front Collision,4,6101,No
POL43330,500,2439,100000,21,12,Hit & Run,2,4340,No
POL40555,1000,2221,50000,73,12,Front Collision,2,3022,No
POL79902,2000,2800,50000,69,2,Rear-End,2,9889,No
POL60059,2000,1333,150000,70,15,Hit & Run,1,8235,No
POL78756,1000,713,100000,47,20,Rear-End,1,13013,No
POL85050,1000,2034,100000,62,17,Rollover,1,12822,No
POL25414,500,928,100000,34,5,Side Impact,1,8153,No
POL46814,2000,2694,150000,30,6,Rollover,1,13771,No
POL12327,1000,2418,50000,72,15,Rollover,2,1733,No
POL15365,1000,1465,150000,83,23,Rollover,2,15537,No
POL18960,2000,1937,150000,79,7,Rollover,3,14687,Yes
POL65085,500,1740,50000,18,8,Front Collision,2,14759,No
POL54238,500,1637,50000,75,21,Side Impact,3,8898,No
POL74589,500,1120,100000,58,16,Rollover,2,1289,No
POL67581,500,2657,50000,34,1,Hit & Run,2,3169,Yes
POL27746,2000,2519,100000,40,3,Front Collision,4,9216,Yes
POL44595,500,1212,150000,61,4,Front Collision,4,11319,No
POL36523,1000,1107,50000,30,5,Rollover,2,18446,No
POL26558,2000,2909,50000,21,22,Side Impact,1,9831,No
POL44819,500,2834,50000,73,21,Hit & Run,5,7660,Yes
POL23900,1000,1561,50000,84,1,Rear-End,4,2937,No
POL91428,1000,1020,100000,72,0,Hit & Run,5,6524,Yes
POL26866,500,1318,150000,44,23,Rollover,2,8185,No
POL41679,500,1500,100000,55,7,Side Impact,1,3924,No
POL98210,2000,1745,50000,46,2,Hit & Run,3,13596,Yes
POL28298,500,786,50000,66,4,Front Collision,4,2528,Yes
POL17296,500,2780,100000,28,20,Hit & Run,1,11212,No
POL45479,2000,2214,150000,56,21,Hit & Run,1,11546,No
POL99557,2000,1016,150000,20,18,Rear-End,2,7354,No
POL77351,500,1367,50000,31,0,Hit & Run,4,1054,No
POL74702,500,2074,100000,29,20,Side Impact,1,3332,No
POL60912,2000,1741,50000,59,2,Side Impact,4,4828,No
POL50494,500,1981,50000,21,5,Front Collision,1,12652,No
POL76225,1000,1177,50000,72,8,Hit & Run,3,5705,No
POL58393,500,1590,50000,25,17,Front Collision,1,16717,No
POL93340,500,2154,150000,47,22,Front Collision,3,16079,No
POL70942,1000,1129,50000,77,10,Rollover,4,16840,No
POL95904,2000,832,50000,80,7,Hit & Run,3,6381,No
POL10261,2000,509,50000,40,19,Hit & Run,1,7769,No
POL92822,500,1239,150000,53,17,Rear-End,2,12926,No
POL82884,500,1968,100000,64,10,Rear-End,5,3001,No
POL26790,2000,1329,150000,57,19,Front Collision,5,7746,No
POL24742,500,2867,150000,45,4,Rollover,2,12917,No
POL56501,1000,815,150000,62,16,Rollover,3,18364,No
POL11071,500,1008,150000,56,21,Hit & Run,1,5669,No
POL43471,1000,1691,50000,74,11,Front Collision,2,11739,No
POL43341,2000,1409,100000,41,11,Side Impact,5,5551,No
POL65633,500,1404,50000,42,5,Front Collision,5,15462,No
POL87403,2000,2561,50000,44,3,Hit & Run,3,1227,Yes
POL69659,1000,2409,100000,76,8,Rollover,4,3375,No
POL43660,500,1522,100000,55,5,Hit & Run,1,17920,Yes
POL58246,1000,1406,150000,25,12,Side Impact,2,6660,No
POL76335,2000,2294,100000,40,6,Side Impact,3,12582,No
POL87285,500,1079,50000,85,8,Side Impact,1,3871,No
POL82118,1000,1156,100000,79,16,Side Impact,3,15203,No
POL33663,2000,796,150000,61,9,Rollover,5,3878,No
POL18767,2000,2008,100000,26,17,Rear-End,2,11092,No
POL61992,1000,2369,100000,63,5,Hit & Run,3,10381,No
POL72593,2000,1960,100000,79,16,Front Collision,2,16297,No
POL34759,2000,2740,100000,48,5,Hit & Run,2,16847,No
POL62598,1000,2043,50000,34,15,Rear-End,4,1825,No
POL42854,2000,1518,50000,37,11,Side Impact,1,10124,No
POL24435,2000,1106,50000,45,23,Hit & Run,1,15731,Yes
POL38174,1000,636,50000,57,22,Hit & Run,4,17076,No
POL33643,500,1118,50000,56,1,Rear-End,2,17817,Yes
POL17837,2000,1028,150000,33,1,Hit & Run,5,16851,Yes
POL31070,1000,1998,100000,21,1,Side Impact,5,6956,No
POL98290,500,2303,50000,66,7,Front Collision,2,3470,No
POL13116,500,1059,150000,82,17,Front Collision,2,10025,No
POL78187,1000,746,150000,46,16,Rollover,2,1828,No
POL62851,500,2712,150000,24,21,Hit & Run,1,7100,No
POL99082,2000,1644,100000,38,3,Hit & Run,4,17897,Yes
POL30168,1000,2226,50000,34,1,Front Collision,3,2959,No
POL52408,1000,2270,100000,51,6,Side Impact,3,2127,No
POL75820,2000,1887,150000,50,1,Rollover,1,12135,No
POL68377,1000,670,150000,26,5,Rollover,1,4906,No
POL14485,1000,918,50000,29,9,Rollover,3,16084,No
POL92814,500,1059,150000,19,0,Side Impact,5,14206,No
POL99864,1000,2976,100000,29,21,Rollover,2,17102,No
POL23407,1000,1407,150000,53,14,Side Impact,5,5710,No
POL94802,2000,2017,50000,22,3,Hit & Run,1,12660,Yes
POL22055,2000,2970,50000,83,8,Side Impact,1,7649,No
POL81420,1000,1567,50000,37,9,Rollover,2,14023,No
POL24122,2000,1364,50000,61,3,Rollover,2,16323,No
POL28133,1000,2202,150000,21,13,Side Impact,1,10201,No
POL23949,1000,1410,50000,82,20,Front Collision,1,4507,No
POL79119,2000,2491,150000,48,0,Hit & Run,1,19056,Yes
POL26951,500,2032,50000,84,4,Rollover,1,18959,Yes
POL76741,1000,2488,150000,38,23,Rollover,3,16864,No
POL26852,1000,1982,100000,72,19,Hit & Run,1,9605,No
POL49136,1000,2499,150000,27,6,Hit & Run,5,19287,No
POL69998,1000,2313,100000,42,0,Hit & Run,2,18954,Yes
POL70842,1000,2714,50000,67,1,Front Collision,5,14702,Yes
POL80229,2000,2670,50000,49,19,Side Impact,1,13473,No
POL27671,500,1158,50000,37,23,Front Collision,4,12228,No
POL13417,2000,646,150000,71,12,Hit & Run,1,12495,No
POL35366,2000,2616,50000,28,19,Rear-End,3,14145,No
POL40972,500,1519,150000,23,18,Side Impact,3,2416,No
POL27006,1000,2798,150000,53,4,Rollover,3,18552,Yes
POL44743,2000,2396,150000,28,3,Side Impact,1,11481,No
POL66847,1000,2800,100000,84,7,Rollover,5,13084,No
POL91729,500,3000,100000,24,17,Side Impact,4,4939,Yes
POL27927,500,1893,150000,66,16,Rollover,5,3959,No
POL44024,2000,787,50000,78,11,Side Impact,4,9538,No
POL13847,2000,907,150000,35,6,Rollover,2,15990,No
POL43460,1000,2735,50000,50,9,Side Impact,2,11592,No
POL81120,500,1168,50000,82,7,Hit & Run,2,2071,No
POL10608,2000,990,50000,47,21,Hit & Run,5,17367,Yes
POL87039,1000,2392,50000,67,23,Side Impact,3,16590,No
POL10753,500,1095,50000,43,22,Hit & Run,2,7012,No
POL11397,1000,881,50000,24,8,Side Impact,2,10690,No
POL38510,1000,2695,100000,81,16,Rollover,4,9051,No
POL71111,500,2116,100000,65,0,Rollover,5,17392,Yes
POL72896,1000,2630,50000,81,22,Hit & Run,4,10091,Yes
POL79720,1000,2515,50000,50,1,Hit & Run,5,18461,Yes
POL20769,2000,1394,100000,79,21,Rollover,5,7925,No
POL84783,500,552,50000,40,14,Front Collision,2,13921,No
POL57157,1000,2732,150000,20,1,Side Impact,4,10891,Yes
POL60360,2000,2959,50000,34,15,Rollover,3,18413,Yes
POL29173,500,1212,100000,52,12,Rollover,5,18355,No
POL11570,500,1644,100000,83,1,Rear-End,1,11665,No
POL67851,1000,1484,50000,32,9,Hit & Run,4,6306,No
POL46540,1000,1393,50000,32,5,Front Collision,5,2462,No
POL60762,1000,1981,100000,58,5,Rear-End,4,11432,No
POL77984,1000,1627,150000,62,5,Side Impact,4,1864,No
POL75058,2000,616,100000,58,3,Hit & Run,1,10964,Yes
POL95407,2000,1866,100000,48,13,Rear-End,5,6261,No
POL20273,2000,2607,100000,82,5,Rear-End,3,10778,No
POL35534,500,1091,50000,33,8,Rear-End,1,1837,No
POL89772,1000,2631,150000,61,4,Rear-End,4,16976,Yes
POL35210,500,1208,50000,84,14,Rollover,3,10151,No
POL26759,1000,2619,100000,82,12,Side Impact,3,12073,No
POL72800,1000,590,100000,71,11,Rear-End,3,11002,No
POL76790,2000,2897,150000,20,13,Rollover,4,5013,No
POL29246,2000,2154,150000,25,16,Front Collision,3,15516,No
POL55715,1000,713,50000,39,7,Rear-End,3,1957,No
POL49681,1000,2828,150000,74,9,Rear-End,3,9250,No
POL50071,2000,1640,100000,57,21,Front Collision,2,7048,No
POL73301,1000,2566,100000,74,0,Side Impact,2,15082,Yes
POL51822,500,2274,100000,53,19,Hit & Run,3,9518,Yes
POL21000,1000,1951,150000,30,19,Side Impact,1,3330,No
POL16321,2000,937,150000,73,17,Rear-End,4,10370,Yes
POL10822,1000,2346,100000,35,20,Hit & Run,1,16009,No
POL32599,2000,532,100000,24,11,Rear-End,5,16227,No
POL72314,1000,875,100000,26,23,Front Collision,2,19894,No
POL87564,500,1475,50000,70,22,Front Collision,2,9459,No
POL57906,1000,2579,150000,36,6,Front Collision,2,15401,No
POL58512,500,2889,100000,54,0,Front Collision,4,14663,Yes
POL61685,1000,950,50000,23,3,Hit & Run,4,3284,Yes
POL24682,1000,2667,150000,27,10,Front Collision,5,14558,No
POL55429,500,1085,100000,39,3,Side Impact,2,15731,Yes
POL43117,1000,1853,100000,72,2,Rear-End,3,15347,No
POL15832,500,699,150000,39,14,Rollover,3,18388,No
POL87233,2000,684,100000,49,15,Front Collision,1,1914,No
POL73696,500,917,150000,49,1,Hit & Run,4,1289,Yes
POL87639,2000,2881,100000,36,20,Rollover,1,11821,No
POL98208,500,1033,100000,59,14,Hit & Run,3,4100,No
POL47539,2000,1407,50000,51,1,Side Impact,4,11645,No
POL89947,500,1411,100000,28,7,Rollover,1,12729,No
POL14081,1000,1887,150000,79,13,Rear-End,4,18971,No
POL63857,500,2781,100000,40,1,Rear-End,4,3036,Yes
POL99341,2000,2271,100000,20,0,Rollover,2,8465,No
POL27458,500,2312,50000,79,11,Front Collision,5,11407,No
POL29667,1000,1273,50000,52,20,Rollover,1,8476,No
POL93886,500,2196,100000,71,3,Hit & Run,4,16320,Yes
POL79429,2000,2575,150000,42,10,Rollover,2,12812,No
POL49934,500,2965,150000,39,19,Rear-End,5,2441,No
POL52945,2000,860,150000,58,22,Hit & Run,1,6784,No
POL23977,1000,1069,100000,56,4,Hit & Run,3,4287,Yes
POL71296,500,1815,100000,21,13,Side Impact,4,1033,No
POL51184,500,2465,150000,36,22,Rollover,1,11335,No
POL94656,1000,2333,100000,71,13,Side Impact,1,11189,No
POL61795,500,2214,50000,65,5,Hit & Run,1,12668,No
POL93609,500,515,100000,33,15,Side Impact,2,1368,No
POL31417,2000,2830,50000,75,17,Rear-End,2,19665,No
POL96451,2000,757,50000,49,10,Rollover,5,14860,No
POL22282,1000,720,50000,78,11,Rollover,5,9799,No
POL51367,500,2266,50000,38,11,Hit & Run,1,5089,No
POL47414,500,894,150000,71,6,Side Impact,1,8373,No
POL62289,1000,1671,100000,66,7,Front Collision,2,10223,No
POL99538,500,1563,50000,84,12,Rollover,2,14664,No
POL80759,2000,1104,100000,18,10,Front Collision,1,1753,No
POL90558,1000,836,50000,35,7,Side Impact,4,9516,No
POL72557,2000,1113,100000,44,10,Front Collision,3,15662,No
POL45933,1000,1700,100000,38,4,Side Impact,4,10311,No
POL10695,500,2518,50000,43,16,Side Impact,2,13916,Yes
POL33870,500,568,100000,57,2,Rollover,5,7100,No
POL91377,2000,604,150000,79,2,Front Collision,2,18982,No
POL66281,1000,2983,100000,22,12,Front Collision,4,6140,No
POL69288,1000,1905,150000,85,11,Front Collision,1,13179,No
POL75518,1000,1328,100000,83,23,Front Collision,3,7468,No
POL45776,500,2346,50000,74,10,Hit & Run,1,3845,No
POL12578,500,2368,150000,60,1,Rear-End,3,4158,No
POL53983,1000,2941,150000,58,6,Rear-End,3,16274,No
POL91577,2000,1020,150000,84,5,Rollover,2,10027,No
POL16539,1000,1072,150000,35,9,Rollover,2,5769,No
POL29326,500,1490,50000,26,17,Rear-End,1,3392,No
POL74096,500,1238,150000,26,0,Hit & Run,4,12441,Yes
POL37896,500,2720,100000,63,19,Hit & Run,4,11466,Yes
POL40200,500,2491,50000,73,6,Rear-End,3,16364,No
POL70376,500,1556,150000,34,0,Side Impact,3,4874,No
POL79616,2000,879,50000,59,1,Side Impact,4,6186,No
POL52702,500,2308,50000,65,5,Rollover,3,16185,No
POL51400,1000,2358,100000,46,20,Side Impact,2,18698,No
POL65464,500,1219,100000,39,23,Front Collision,3,15234,Yes
POL42781,1000,2425,100000,25,22,Hit & Run,3,9836,No
POL29900,2000,845,150000,28,14,Rear-End,3,3641,No
POL27443,500,2459,50000,73,18,Front Collision,4,15848,No
POL96937,2000,718,150000,19,1,Side Impact,4,4350,No
POL31338,500,2803,100000,78,7,Front Collision,1,4797,No
POL76378,2000,534,100000,54,6,Side Impact,1,7455,No
POL26105,1000,2908,150000,21,8,Side Impact,5,11019,No
POL35330,500,2189,50000,19,16,Rear-End,5,4936,No
POL53440,1000,947,150000,53,20,Hit & Run,1,11389,No
POL63114,2000,627,100000,19,3,Front Collision,5,19936,Yes
POL55626,1000,2253,150000,79,8,Rollover,4,3560,No
POL70235,500,1410,50000,79,22,Rear-End,2,3278,No
POL45232,1000,2941,100000,55,18,Hit & Run,3,15341,Yes
POL34572,500,718,50000,39,16,Side Impact,5,1308,No
POL80927,2000,1616,100000,64,22,Hit & Run,1,17433,No
POL37684,1000,2618,100000,66,15,Rear-End,1,9117,No
POL57096,1000,1871,50000,50,8,Hit & Run,3,18878,No
POL87777,1000,2727,100000,70,1,Rollover,5,9142,Yes
POL82223,1000,613,100000,27,22,Rollover,5,18547,No
POL30280,500,634,50000,56,11,Rollover,3,11813,No
POL99195,2000,1585,50000,62,16,Hit & Run,4,16144,No
POL17083,2000,1586,100000,20,19,Rollover,1,9618,No
POL48405,2000,1134,50000,35,9,Rollover,5,6561,No
POL82989,500,668,150000,82,5,Front Collision,4,18026,No
POL14846,500,1241,100000,35,20,Front Collision,4,2162,No
POL65921,1000,1433,50000,35,18,Front Collision,1,2189,No
POL11328,1000,1744,150000,75,19,Rollover,4,6155,No
POL71218,2000,2303,50000,74,23,Rollover,4,9472,No
POL17214,500,2575,150000,84,21,Rollover,3,10725,No
POL19694,500,1655,150000,48,4,Rollover,1,7977,No
POL27615,500,1265,150000,51,12,Rollover,5,13599,No
POL47541,2000,2519,100000,74,8,Hit & Run,5,1419,Yes
POL86142,500,840,150000,54,1,Side Impact,5,13658,No
POL67233,2000,643,150000,37,13,Hit & Run,4,10344,No
POL93934,1000,2835,100000,49,17,Rollover,2,4690,No
POL28943,1000,634,50000,31,7,Hit & Run,5,9350,No
POL48367,2000,842,150000,74,7,Front Collision,2,19896,No
POL84994,2000,1386,150000,24,11,Hit & Run,4,3607,No
POL43070,1000,1627,150000,31,23,Front Collision,1,14892,Yes
POL46272,2000,1411,100000,70,4,Rear-End,5,6065,No
POL41396,1000,1464,50000,45,23,Side Impact,5,7845,No
POL31445,500,2594,50000,29,7,Rollover,4,4180,No
POL86272,1000,1471,150000,76,3,Rear-End,5,17341,No
POL25462,2000,1144,50000,46,21,Hit & Run,1,14806,No
POL48812,1000,2826,50000,30,13,Hit & Run,1,8512,No
POL47780,1000,2941,150000,25,1,Side Impact,1,18123,No
POL41528,2000,2037,150000,82,20,Rear-End,5,1300,No
POL47169,2000,2047,150000,30,2,Hit & Run,2,15838,Yes
POL31208,500,913,100000,67,20,Hit & Run,3,15764,Yes
POL44087,2000,1115,50000,64,12,Rollover,2,18654,No
POL19015,1000,1253,150000,23,14,Rollover,1,15988,No
POL63812,2000,1887,50000,33,22,Rear-End,2,4521,No
POL98394,500,2726,50000,78,7,Rollover,1,6476,No
POL41086,500,2797,150000,38,1,Rollover,1,10460,No
POL48623,2000,2082,100000,68,2,Rear-End,4,9302,No
POL85362,1000,1949,150000,66,15,Side Impact,2,12840,No
POL16368,1000,2159,100000,68,22,Rollover,1,6653,No
POL65598,500,1240,100000,51,8,Hit & Run,4,13406,No
POL93238,1000,2313,100000,65,6,Side Impact,1,3694,No
POL68877,2000,1042,150000,66,2,Side Impact,5,1566,No
POL48427,500,2908,50000,37,5,Side Impact,3,6252,No
POL46580,2000,2182,50000,58,15,Side Impact,5,11479,No
POL89360,1000,2751,100000,22,13,Hit & Run,4,8446,Yes
POL58742,1000,2272,100000,42,11,Side Impact,4,5167,No
POL31179,1000,2732,150000,85,10,Rollover,1,13289,No
POL94213,500,2510,50000,59,6,Rollover,5,7579,No
POL74249,500,807,50000,72,23,Rear-End,1,11320,No
POL75963,2000,994,100000,23,16,Side Impact,5,14212,No
POL20081,500,1933,50000,40,1,Front Collision,1,12459,No
POL10825,1000,1967,150000,47,19,Hit & Run,4,3464,No
POL40834,500,2070,150000,42,22,Front Collision,1,19707,No
POL16014,2000,2371,150000,51,11,Rear-End,3,3180,No
POL32954,500,2153,50000,32,12,Rear-End,2,15131,Yes
POL75526,500,1447,50000,52,4,Front Collision,3,10958,No
POL37454,2000,760,50000,65,0,Rear-End,1,13479,No
POL49773,1000,2155,100000,79,15,Rollover,2,4995,No
POL86797,1000,2590,50000,70,22,Rollover,4,6830,No
POL70279,2000,581,150000,66,6,Hit & Run,4,2800,No
POL82623,500,2794,50000,76,21,Rear-End,4,6660,No
POL84069,2000,2474,50000,21,15,Rear-End,1,14079,No
POL77158,500,1624,150000,40,13,Rollover,4,15858,No
POL89664,500,2615,100000,34,3,Front Collision,4,18191,Yes
POL32860,1000,1639,50000,25,11,Hit & Run,1,6073,No
POL99429,1000,1348,50000,77,8,Hit & Run,5,12842,Yes
POL65758,1000,970,100000,42,10,Side Impact,2,17434,No
POL31041,500,2478,150000,60,13,Side Impact,3,1845,No
POL17728,1000,2092,100000,35,21,Side Impact,4,16393,No
POL84607,500,1630,50000,74,2,Hit & Run,5,6044,Yes
POL43234,1000,1147,150000,61,10,Hit & Run,2,14953,No
POL20837,2000,967,150000,35,13,Front Collision,1,16478,No
POL72546,500,1973,50000,75,9,Hit & Run,3,4601,No
POL95170,2000,770,50000,63,1,Rear-End,2,3276,No
POL35080,500,1011,150000,70,3,Rear-End,2,1903,No
POL38291,500,1565,50000,38,19,Rollover,3,18679,No
POL25114,500,1322,50000,21,16,Front Collision,2,1946,No
POL62453,2000,1681,50000,29,12,Side Impact,3,12926,No
POL93922,2000,2952,150000,55,1,Rear-End,4,13492,Yes
POL56154,500,823,50000,79,8,Rollover,1,15792,No
POL63764,2000,806,150000,26,11,Hit & Run,3,10612,No
POL43901,1000,1747,150000,56,3,Side Impact,2,15752,No
POL39439,1000,1524,50000,28,13,Hit & Run,4,15981,No
POL89083,500,1671,150000,85,21,Rear-End,3,10332,No
POL32256,500,989,150000,82,3,Rear-End,1,9757,No
POL41887,1000,2907,50000,83,9,Side Impact,4,1725,No
POL36292,1000,1241,50000,65,4,Rollover,5,3708,No
POL63179,2000,2789,50000,58,13,Rollover,2,17559,No
POL58545,1000,1275,100000,67,12,Rollover,3,12189,No
POL81638,1000,1042,150000,18,1,Front Collision,4,14682,Yes
POL71126,2000,1869,50000,66,22,Front Collision,2,11540,No
POL78531,1000,2392,100000,53,17,Rear-End,1,7590,No
POL30637,2000,1497,100000,64,19,Side Impact,2,7688,No
POL42577,1000,1886,50000,84,7,Hit & Run,4,3085,No
POL55834,1000,1215,150000,58,9,Rollover,4,9314,No
POL45817,1000,1436,100000,77,0,Rear-End,1,2991,No
POL30846,1000,2960,50000,21,16,Rear-End,3,2374,No
POL96494,1000,2039,50000,32,0,Side Impact,4,8448,No
POL83699,1000,2051,50000,67,6,Side Impact,2,18045,No
POL33933,2000,1342,100000,61,17,Front Collision,2,6485,No
POL61612,2000,2430,50000,44,14,Rollover,1,18806,No
POL69960,2000,2509,150000,26,7,Rear-End,3,4912,No
POL93156,500,1019,50000,51,6,Front Collision,2,8568,No
POL76945,500,824,150000,42,8,Hit & Run,5,9769,No
POL95868,500,1347,100000,74,0,Rear-End,4,6326,No
POL83917,2000,1376,50000,80,0,Hit & Run,5,13272,Yes
POL61208,2000,1965,100000,45,10,Side Impact,4,1481,No
POL94994,500,1853,100000,25,11,Side Impact,3,12670,No
POL66738,1000,2663,150000,22,0,Side Impact,5,14437,Yes
POL92771,1000,2419,100000,41,23,Side Impact,5,1432,No
POL73932,1000,2449,50000,83,21,Side Impact,2,12630,No
POL49915,1000,2074,150000,67,12,Rear-End,5,5044,No
POL38778,1000,1327,150000,57,14,Front Collision,1,8516,No
POL63990,2000,2684,150000,63,4,Front Collision,3,2826,Yes
POL27318,1000,1347,100000,71,1,Side Impact,4,11143,No
POL95935,2000,1277,50000,29,4,Rollover,5,8244,No
POL26551,2000,2186,100000,83,1,Side Impact,1,6657,No
POL77419,500,1753,100000,19,23,Rollover,1,14119,Yes
POL87435,2000,1262,150000,24,0,Front Collision,1,4721,No
POL37542,1000,1104,100000,60,13,Rear-End,3,19580,No
POL95034,500,1425,100000,53,21,Rollover,2,14388,No
POL40276,1000,1550,150000,45,6,Hit & Run,2,5862,No
POL16353,2000,2118,150000,60,20,Rollover,3,4729,No
POL25614,2000,2248,50000,84,7,Side Impact,4,13117,No
POL57193,500,628,50000,68,14,Side Impact,2,5890,No
POL59573,1000,1753,150000,64,21,Side Impact,4,9617,No
POL90498,1000,985,150000,22,0,Side Impact,1,12520,No
POL70932,1000,1205,150000,22,5,Rear-End,3,14568,No
POL36770,2000,1543,150000,53,18,Rear-End,1,12743,Yes
POL19249,500,1035,150000,30,23,Rollover,3,3314,No
POL26886,1000,2622,150000,70,13,Hit & Run,4,16531,Yes
POL68857,500,2688,50000,70,5,Side Impact,2,7227,No
POL39191,2000,769,50000,24,15,Rear-End,5,7108,No
POL86391,2000,730,100000,26,10,Rear-End,5,12372,No
POL49637,2000,1861,150000,58,0,Side Impact,2,11670,No
POL29885,2000,1346,50000,67,17,Front Collision,3,16936,No
POL61384,2000,2274,100000,85,22,Side Impact,2,6149,No
POL33045,2000,1152,100000,61,21,Hit & Run,1,11234,No
POL27263,1000,1965,150000,78,20,Side Impact,2,18286,No
POL29404,2000,1701,100000,67,8,Hit & Run,4,11259,No
POL29751,500,2723,50000,21,8,Side Impact,3,4380,No
POL74503,500,2078,100000,32,22,Side Impact,4,14205,No
POL66614,1000,705,150000,27,10,Hit & Run,2,19534,No
POL63159,1000,2070,100000,70,2,Side Impact,3,19817,No
POL98922,1000,623,100000,26,12,Side Impact,5,5908,No
POL83039,2000,1550,50000,77,6,Rear-End,4,2046,No
POL88235,500,2543,50000,37,13,Rear-End,1,15810,No
POL74917,2000,1635,150000,76,7,Side Impact,1,9095,No
POL22152,500,2501,50000,62,13,Rollover,5,5240,No
POL93845,500,995,50000,55,12,Rear-End,1,13532,No
POL73433,1000,2873,100000,27,5,Rollover,1,1807,No
POL71647,1000,2029,100000,69,21,Hit & Run,5,8021,Yes
POL55841,500,2455,50000,72,21,Front Collision,4,6258,No
POL89390,2000,1312,150000,62,10,Front Collision,1,8239,Yes
POL53049,1000,1096,100000,75,18,Side Impact,3,18044,No
POL73786,500,653,100000,73,21,Rollover,5,9395,No
POL73153,500,2104,100000,65,8,Rollover,4,5960,No
POL22468,500,1782,150000,68,7,Side Impact,1,13045,No
POL64222,2000,1030,150000,56,5,Rear-End,4,7168,No
POL23685,2000,2132,100000,73,15,Hit & Run,4,19385,No
POL24784,500,1560,150000,30,0,Rear-End,5,8617,No
POL71881,2000,1545,100000,82,17,Front Collision,2,1144,No
POL86182,500,2037,150000,66,6,Hit & Run,4,10248,No
POL89550,500,2793,100000,28,2,Rear-End,5,13321,Yes
POL90806,500,2423,50000,64,21,Side Impact,2,2437,No
POL55543,2000,2115,50000,55,0,Rollover,2,17860,No
POL22026,1000,1024,150000,42,6,Hit & Run,5,17710,No
POL90407,1000,1529,100000,67,5,Rear-End,1,1462,No
POL76662,2000,2380,50000,56,22,Front Collision,4,12090,No
POL80646,500,875,50000,38,12,Front Collision,2,9814,No
POL54016,2000,1352,50000,37,10,Side Impact,4,3001,No
POL14211,2000,2269,50000,40,20,Side Impact,2,7375,No
POL68856,2000,2204,50000,82,12,Side Impact,1,8080,No
POL11212,500,2191,100000,26,12,Side Impact,1,16371,Yes
POL21015,1000,2092,100000,68,0,Hit & Run,5,8172,Yes
POL96797,2000,1332,100000,28,18,Rear-End,4,15459,No
POL11896,500,1875,50000,81,0,Rear-End,5,4739,No
