policy_number,policy_deductible,policy_annual_premium,umbrella_limit,insured_age,incident_hour_of_the_day,collision_type,number_of_vehicles,total_claim_amount,fraud_reported
POL80017,1000,2880,150000,81,15,Rear-End,2,13118,No
POL39871,1000,538,50000,24,19,Hit & Run,4,10826,Yes
POL59849,2000,1361,150000,23,5,Rollover,1,15807,No
POL17759,500,1826,150000,70,16,Rollover,5,2835,Yes
POL77960,2000,2903,50000,34,11,Front Collision,3,14986,Yes
POL26343,1000,2032,100000,58,14,Front Collision,3,3987,Yes
POL58145,2000,1330,50000,39,6,Side Impact,3,6954,No
POL39777,500,2409,50000,25,16,Hit & Run,3,12827,No
POL76883,500,1301,100000,85,22,Rear-End,4,2193,No
POL93147,500,545,50000,42,0,Rollover,2,13445,No
POL60322,500,2034,50000,57,20,Side Impact,2,19428,No
POL16972,500,1374,100000,38,22,Hit & Run,5,4835,No
POL42362,1000,1504,50000,52,1,Side Impact,5,14741,Yes
POL90016,1000,2098,100000,84,18,Front Collision,4,10229,Yes
POL56531,1000,1902,150000,82,13,Rear-End,4,17821,No
POL41055,1000,2119,50000,67,9,Hit & Run,1,3854,Yes
POL88589,2000,2785,50000,59,11,Side Impact,2,9278,Yes
POL67214,2000,671,50000,24,17,Rear-End,5,13230,Yes
POL47294,2000,932,100000,29,6,Rollover,4,15498,Yes
POL90451,500,858,150000,18,21,Rear-End,5,2597,Yes
POL64519,2000,2788,150000,46,9,Rollover,2,3220,No
POL64073,500,1560,100000,67,14,Rollover,5,6346,No
POL47142,1000,2293,100000,79,11,Front Collision,3,17608,No
POL27144,1000,855,150000,80,6,Rollover,4,19367,No
POL65908,500,2586,50000,82,12,Side Impact,3,12295,No
POL17812,500,1824,150000,35,13,Rollover,4,18872,No
POL55526,1000,778,100000,50,20,Rear-End,1,2499,Yes
POL18155,2000,1922,100000,64,13,Hit & Run,5,12684,No
POL28809,500,2083,150000,20,4,Rear-End,1,13479,No
POL51925,500,2726,100000,27,15,Front Collision,1,13059,No
POL26081,1000,2428,150000,59,12,Front Collision,2,19365,Yes
POL31786,1000,2123,100000,23,7,Side Impact,1,10153,Yes
POL84578,500,2515,100000,81,15,Hit & Run,5,6738,Yes
POL72984,2000,2494,100000,31,1,Side Impact,5,16962,Yes
POL41418,1000,2629,150000,31,16,Rear-End,1,17880,Yes
POL63784,500,648,150000,79,1,Side Impact,3,9711,No
POL21918,500,2919,100000,78,19,Rollover,3,19424,Yes
POL65824,500,2545,50000,84,13,Side Impact,4,11946,Yes
POL14227,2000,2808,50000,69,15,Rollover,5,4334,Yes
POL90297,1000,1700,50000,85,14,Rollover,3,14445,No
POL45333,2000,1433,150000,56,8,Rollover,3,9893,Yes
POL24842,2000,1135,150000,47,3,Hit & Run,3,2496,Yes
POL59651,500,1700,50000,18,21,Front Collision,5,1509,No
POL17429,500,1715,100000,70,13,Rollover,3,10153,No
POL70973,1000,1449,50000,60,0,Rollover,4,2136,Yes
POL95281,1000,2625,100000,56,22,Side Impact,3,17747,Yes
POL10973,2000,1631,150000,53,9,Front Collision,5,3059,No
POL78557,1000,1925,50000,73,22,Hit & Run,2,10394,Yes
POL96257,2000,673,150000,75,15,Front Collision,1,2211,Yes
POL67550,500,1092,150000,54,4,Side Impact,2,9734,No
POL25541,500,1961,50000,71,18,Side Impact,4,2784,No
POL91733,2000,1866,50000,68,15,Rear-End,2,5316,Yes
POL55869,2000,2776,50000,42,9,Rollover,5,11079,No
POL87476,2000,2760,100000,68,3,Front Collision,2,19860,Yes
POL25611,1000,1095,100000,85,3,Rollover,4,5635,Yes
POL12286,2000,2348,100000,27,15,Hit & Run,3,12088,No
POL24640,2000,1210,100000,26,14,Rollover,3,6970,Yes
POL63758,1000,1501,50000,31,19,Rollover,5,4233,No
POL99993,500,819,50000,84,16,Hit & Run,5,10169,Yes
POL12366,500,1066,50000,78,13,Rear-End,3,3300,No
POL21866,500,2362,150000,59,7,Rollover,2,17085,No
POL19227,1000,1199,100000,54,22,Rollover,4,1291,No
POL46723,2000,1384,150000,71,6,Hit & Run,4,9913,No
POL74251,1000,1027,100000,84,6,Front Collision,5,4358,Yes
POL78798,500,2034,150000,68,7,Hit & Run,3,4977,Yes
POL28816,500,1576,150000,55,2,Rollover,2,8027,Yes
POL27384,500,928,100000,48,21,Hit & Run,3,6834,Yes
POL40971,2000,2101,50000,85,12,Side Impact,3,4162,No
POL94503,1000,1056,100000,83,23,Hit & Run,5,6045,No
POL90962,2000,625,100000,68,6,Front Collision,2,9540,Yes
POL72007,2000,920,50000,84,3,Rollover,4,13540,Yes
POL32920,1000,1628,150000,24,22,Hit & Run,5,6696,No
POL32739,500,1620,150000,37,6,Front Collision,5,7439,No
POL35474,500,1294,50000,63,7,Hit & Run,3,11755,No
POL61727,1000,1224,100000,25,13,Rollover,2,13262,No
POL35207,1000,1482,150000,27,20,Front Collision,1,10705,Yes
POL30485,1000,1635,100000,54,8,Side Impact,5,14916,Yes
POL31795,1000,2060,50000,84,1,Rollover,2,2444,Yes
POL69684,2000,2656,100000,81,13,Rear-End,2,14376,No
POL33983,1000,2933,50000,78,10,Side Impact,1,14706,Yes
POL29599,1000,1290,50000,51,14,Side Impact,5,1192,Yes
POL32172,1000,2434,50000,44,21,Side Impact,4,6697,No
POL77403,500,2976,50000,75,23,Hit & Run,2,8292,No
POL95351,2000,554,100000,39,13,Side Impact,5,8424,Yes
POL82856,2000,2785,100000,78,15,Front Collision,3,14525,No
POL30346,1000,2015,150000,26,18,Hit & Run,3,11197,No
POL63712,500,680,50000,85,6,Front Collision,1,6319,Yes
POL54702,2000,1807,100000,59,6,Rollover,1,1801,Yes
POL20931,500,1365,150000,64,12,Hit & Run,3,9251,No
POL56036,1000,2789,150000,54,5,Side Impact,3,17393,Yes
POL59228,500,2903,50000,59,8,Front Collision,3,16330,No
POL84236,2000,2532,150000,27,22,Hit & Run,4,4800,Yes
POL70183,2000,833,150000,68,6,Rear-End,3,12929,Yes
POL67986,1000,1845,100000,55,19,Hit & Run,1,12249,No
POL46666,1000,2102,150000,33,13,Front Collision,2,4470,No
POL31567,500,2724,50000,65,13,Rear-End,1,19638,Yes
POL93371,2000,1994,150000,39,16,Side Impact,4,16318,Yes
POL98132,2000,557,50000,34,6,Rear-End,4,17479,No
POL68653,500,2965,100000,26,19,Side Impact,3,19980,No
POL68771,1000,2195,50000,32,1,Rear-End,2,5844,No
POL22397,1000,941,100000,20,15,Hit & Run,1,16525,Yes
POL74684,2000,1213,50000,54,8,Side Impact,5,13476,No
POL56784,2000,1991,150000,46,12,Rear-End,4,11498,No
POL45136,1000,683,50000,26,8,Side Impact,5,15798,No
POL65729,500,1481,150000,79,18,Rollover,5,17948,Yes
POL85143,500,2661,150000,56,5,Hit & Run,4,9745,No
POL20625,2000,1145,100000,57,7,Front Collision,2,1215,Yes
POL25509,1000,2515,50000,56,14,Hit & Run,1,8525,No
POL50979,1000,2866,50000,72,22,Front Collision,5,7239,Yes
POL98635,1000,601,50000,50,8,Side Impact,2,9471,No
POL24866,2000,1451,50000,29,6,Rollover,5,15987,No
POL91332,1000,1768,150000,40,16,Front Collision,4,1340,No
POL42086,2000,2925,150000,80,12,Front Collision,3,1997,No
POL49873,1000,2032,50000,66,2,Rear-End,1,12470,No
POL78358,1000,1023,100000,44,10,Rear-End,3,13562,Yes
POL23351,1000,575,100000,53,6,Rollover,2,2696,Yes
POL28277,500,2342,50000,46,17,Hit & Run,1,3907,Yes
POL48258,2000,1540,100000,32,1,Front Collision,3,1076,Yes
POL58799,2000,606,150000,67,7,Rear-End,1,17201,No
POL75154,500,815,100000,29,18,Hit & Run,4,10101,Yes
POL98158,1000,1468,150000,68,7,Hit & Run,5,1930,Yes
POL72110,1000,2897,100000,21,21,Side Impact,3,12885,Yes
POL77518,1000,590,50000,29,18,Rear-End,4,8649,No
POL40701,2000,972,150000,78,3,Rear-End,3,15239,No
POL71390,500,2057,150000,76,15,Rear-End,2,9772,Yes
POL83061,500,1706,50000,56,5,Hit & Run,3,17320,Yes
POL51298,500,2262,150000,67,16,Front Collision,3,11041,No
POL69223,500,2677,100000,28,14,Side Impact,2,15685,Yes
POL27330,1000,2914,50000,63,15,Side Impact,3,10399,Yes
POL45861,2000,2487,100000,43,15,Side Impact,1,6448,No
POL79709,2000,1938,50000,20,14,Hit & Run,4,18129,No
POL76172,500,2110,150000,42,2,Rollover,5,13497,No
POL32202,2000,2823,50000,80,9,Rear-End,5,13811,No
POL28920,500,1644,150000,70,15,Side Impact,2,2557,No
POL82591,1000,1236,100000,82,22,Side Impact,1,1635,Yes
POL84713,2000,990,150000,24,14,Hit & Run,3,17886,Yes
POL34238,1000,2755,100000,62,23,Rollover,1,12665,Yes
POL25949,500,1203,100000,29,5,Rollover,4,19573,No
POL90960,2000,2644,100000,67,0,Side Impact,2,13951,No
POL87448,1000,2599,150000,23,18,Side Impact,3,2839,Yes
POL27588,1000,921,100000,77,20,Front Collision,1,9951,No
POL87150,500,1272,50000,64,15,Hit & Run,2,18109,No
POL94550,500,947,150000,51,21,Hit & Run,3,2155,Yes
POL69148,2000,1427,50000,79,20,Hit & Run,4,3113,Yes
POL20498,500,783,100000,55,19,Front Collision,1,18902,Yes
POL21243,500,2845,100000,53,8,Rear-End,3,12037,Yes
POL15991,2000,779,100000,42,1,Rollover,4,12119,No
POL42827,500,513,100000,40,7,Side Impact,2,3421,Yes
POL66905,2000,966,50000,27,21,Side Impact,5,16461,Yes
POL60710,2000,952,150000,33,10,Rear-End,3,3837,Yes
POL95908,500,970,150000,73,10,Front Collision,3,17952,Yes
POL33336,1000,1714,150000,25,10,Rear-End,2,11890,No
POL14097,2000,700,100000,69,19,Side Impact,3,17221,No
POL79107,2000,1188,50000,61,1,Side Impact,2,8076,No
POL50977,1000,2281,100000,27,14,Rear-End,5,9235,Yes
POL55276,500,655,100000,67,16,Rollover,3,2142,No
POL55612,2000,1054,150000,58,22,Hit & Run,1,13536,No
POL61317,1000,2078,100000,79,12,Front Collision,2,13006,Yes
POL22737,500,1042,50000,24,3,Rollover,5,19735,Yes
POL98018,2000,2918,50000,25,12,Side Impact,4,17210,Yes
POL94722,500,1223,50000,19,20,Front Collision,5,3694,No
POL79216,1000,1650,50000,66,3,Hit & Run,1,18915,Yes
POL95652,2000,1415,50000,34,2,Front Collision,1,19784,Yes
POL50662,2000,1450,150000,62,5,Front Collision,5,11007,Yes
POL80062,500,1132,150000,63,0,Rollover,1,4210,Yes
POL13223,2000,2420,150000,75,10,Front Collision,3,14410,No
POL56699,2000,2428,50000,26,23,Side Impact,2,9242,No
POL67743,500,929,150000,26,19,Side Impact,1,6503,Yes
POL29755,500,2798,50000,24,18,Side Impact,2,8325,Yes
POL96482,500,2527,100000,32,6,Rear-End,4,1465,No
POL76711,2000,846,50000,58,9,Front Collision,4,18455,Yes
POL94211,2000,2402,50000,18,12,Front Collision,3,7498,No
POL47080,500,2940,100000,78,6,Side Impact,3,3324,Yes
POL86066,1000,1566,150000,18,2,Front Collision,1,3736,Yes
POL83914,500,1143,50000,76,11,Front Collision,4,15138,Yes
POL85010,2000,748,50000,22,8,Rollover,4,8379,Yes
POL42816,2000,1514,150000,49,1,Side Impact,1,19627,Yes
POL29372,500,1123,100000,76,20,Hit & Run,5,9023,Yes
POL65902,1000,1067,150000,19,2,Hit & Run,2,18792,Yes
POL13043,1000,832,100000,36,3,Front Collision,5,12144,No
POL37050,500,1189,50000,18,9,Rear-End,3,4022,No
POL57262,500,651,50000,60,23,Rollover,5,17293,Yes
POL32779,1000,2291,50000,51,21,Front Collision,2,12265,No
POL14327,2000,1587,150000,72,8,Front Collision,4,15826,Yes
POL29359,2000,904,150000,61,10,Rollover,1,14491,No
POL93135,500,704,100000,83,20,Rear-End,5,16810,Yes
POL45300,2000,2363,150000,40,22,Rear-End,5,5534,No
POL34651,500,2340,50000,61,23,Side Impact,1,12612,No
POL49199,1000,663,100000,25,22,Rear-End,5,19430,Yes
POL64605,500,2636,100000,63,0,Side Impact,2,17812,No
POL53993,1000,2780,100000,64,16,Front Collision,1,4718,No
POL12345,2000,2928,50000,34,18,Hit & Run,4,1395,No
POL57090,1000,1968,100000,48,17,Rear-End,3,4949,No
POL55794,2000,1437,100000,47,23,Rollover,2,5095,No
POL29085,2000,1711,50000,61,1,Front Collision,4,11198,Yes
POL83523,2000,2248,100000,58,16,Side Impact,3,10351,No
POL54890,2000,1894,100000,45,9,Side Impact,5,4270,No
POL53838,500,1847,50000,58,7,Rollover,2,4111,Yes
POL65187,1000,507,100000,41,9,Side Impact,2,8060,No
POL39925,2000,1076,100000,23,12,Rollover,2,9882,No
POL25431,2000,2760,100000,23,11,Rear-End,3,12842,No
POL34998,2000,2635,50000,30,10,Side Impact,4,17662,Yes
POL21660,2000,2379,100000,45,16,Rear-End,2,1029,Yes
POL97809,2000,2771,100000,60,21,Rear-End,3,9446,Yes
POL29433,2000,2944,50000,31,4,Rear-End,4,18894,No
POL40395,500,2141,100000,34,13,Hit & Run,2,18523,No
POL94385,500,2426,100000,36,2,Rear-End,1,19716,Yes
POL30487,1000,1477,100000,56,20,Rear-End,4,13347,No
POL36596,2000,1426,100000,30,16,Side Impact,1,16654,No
POL88266,500,971,100000,25,3,Side Impact,1,17152,Yes
POL65706,2000,1947,150000,79,9,Rear-End,2,17919,Yes
POL19877,1000,1902,150000,63,20,Hit & Run,3,15688,No
POL24560,1000,1957,50000,34,0,Front Collision,3,5133,No
POL74445,2000,1483,100000,49,17,Rollover,5,7930,No
POL53476,2000,1400,50000,60,8,Rear-End,3,7872,No
POL37584,2000,734,100000,33,1,Hit & Run,3,6682,Yes
POL41985,2000,2721,50000,18,11,Front Collision,5,7753,Yes
POL12529,500,1340,50000,57,15,Hit & Run,2,12104,Yes
POL83551,1000,1267,100000,27,9,Hit & Run,1,8034,Yes
POL75910,500,2946,150000,60,6,Rollover,1,16085,Yes
POL52901,500,1824,100000,83,3,Side Impact,1,5325,No
POL24241,1000,1415,150000,59,23,Rollover,3,19012,No
POL59067,2000,1955,100000,29,2,Rollover,4,14707,No
POL30618,1000,2082,150000,68,11,Hit & Run,3,4489,No
POL97458,2000,1867,50000,36,9,Rollover,5,8446,No
POL80093,1000,2214,50000,56,7,Hit & Run,2,8873,No
POL61176,500,2605,100000,78,22,Side Impact,2,8532,Yes
POL74238,500,834,150000,29,15,Hit & Run,5,11331,Yes
POL54352,2000,1733,150000,20,22,Rear-End,4,12415,Yes
POL24965,500,1039,100000,51,7,Hit & Run,5,5709,Yes
POL97662,500,1729,100000,74,6,Rear-End,2,18152,Yes
POL56105,500,2585,50000,40,11,Rollover,5,9056,No
POL15690,1000,1689,100000,60,1,Front Collision,4,1833,Yes
POL40366,500,2701,50000,22,0,Rollover,3,2018,No
POL65944,500,1322,100000,46,23,Rollover,1,4361,Yes
POL91116,1000,1477,100000,42,4,Rear-End,1,7666,Yes
POL41819,500,2489,100000,52,6,Rear-End,1,13806,Yes
POL57651,1000,2551,150000,32,18,Side Impact,2,18738,Yes
POL86111,1000,1653,150000,81,5,Front Collision,2,8331,Yes
POL49635,1000,2510,150000,50,8,Side Impact,2,10159,Yes
POL10817,1000,2508,150000,21,3,Front Collision,2,18578,No
POL93399,1000,2915,150000,42,11,Side Impact,3,4195,No
POL57420,2000,1536,100000,18,12,Rollover,2,2025,Yes
POL64155,1000,2539,50000,63,1,Side Impact,5,1624,Yes
POL43729,500,2673,50000,24,21,Side Impact,5,3339,Yes
POL31040,500,2398,50000,45,2,Hit & Run,4,7584,Yes
POL96034,2000,2347,100000,65,10,Front Collision,2,13046,Yes
POL67443,500,626,100000,22,19,Front Collision,3,6360,Yes
POL80678,2000,2292,50000,34,1,Front Collision,4,2817,Yes
POL34639,1000,2389,50000,72,15,Side Impact,1,14877,No
POL88404,1000,2289,100000,36,2,Front Collision,1,12012,Yes
POL41668,1000,985,100000,27,11,Rear-End,5,12625,Yes
POL29003,500,1715,100000,83,9,Rollover,4,2156,Yes
POL30083,2000,2049,50000,32,13,Front Collision,2,18447,Yes
POL38229,2000,956,100000,27,17,Rollover,2,8174,No
POL63518,1000,2239,50000,77,14,Rear-End,3,16520,No
POL54798,1000,1384,100000,27,7,Rear-End,2,15243,No
POL81283,500,1487,50000,46,23,Rear-End,1,11144,Yes
POL57030,500,1626,100000,31,21,Side Impact,4,10751,Yes
POL87287,1000,2380,100000,80,19,Rear-End,2,2058,Yes
POL14979,1000,665,100000,22,1,Hit & Run,2,11398,No
POL76881,500,1293,150000,22,11,Rollover,3,7590,Yes
POL46045,500,1512,50000,62,23,Side Impact,3,10740,No
POL12813,1000,1330,50000,68,16,Front Collision,1,10169,No
POL84579,1000,1835,150000,39,12,Rear-End,4,17476,No
POL85685,2000,2539,100000,58,12,Front Collision,3,11242,Yes
POL82909,2000,1011,100000,73,18,Rear-End,4,12995,Yes
POL69791,2000,2110,50000,30,23,Rear-End,4,15063,No
POL82477,500,1339,50000,52,16,Hit & Run,3,17760,Yes
POL81303,2000,2949,50000,78,13,Side Impact,4,16570,Yes
POL69527,2000,2528,100000,36,11,Front Collision,1,12962,No
POL29423,2000,2550,150000,43,20,Front Collision,5,15902,No
POL15517,2000,513,100000,18,13,Rollover,5,14387,Yes
POL30412,1000,688,50000,37,23,Hit & Run,4,7116,No
POL37806,2000,1875,100000,52,4,Side Impact,1,10147,No
POL50343,2000,1313,50000,37,13,Hit & Run,4,18239,No
POL68916,2000,1205,50000,41,6,Front Collision,2,7506,No
POL36368,1000,1716,50000,35,21,Rollover,3,8059,No
POL10910,1000,640,150000,23,7,Hit & Run,3,1693,No
POL93706,1000,1041,50000,69,15,Rollover,1,1796,No
POL78333,2000,1281,150000,75,4,Side Impact,1,1207,No
POL52890,1000,1836,50000,42,1,Rollover,4,10758,Yes
POL76495,500,2066,150000,45,21,Rollover,3,14372,Yes
POL74733,1000,1744,50000,26,8,Hit & Run,2,4044,No
POL59626,2000,1592,50000,50,5,Rear-End,2,14605,Yes
POL75852,500,547,100000,51,20,Hit & Run,5,8167,Yes
POL47742,2000,1409,100000,32,1,Rear-End,2,17598,Yes
POL17379,1000,2740,100000,18,18,Rollover,2,9900,No
POL44255,2000,1665,50000,47,21,Hit & Run,5,1198,Yes
POL99018,500,888,50000,54,19,Rear-End,2,6006,No
POL15057,500,2482,50000,81,2,Rear-End,1,7557,No
POL76976,1000,916,150000,48,22,Side Impact,4,5439,No
POL70429,1000,1502,50000,68,17,Front Collision,3,10119,Yes
POL38395,1000,1602,100000,62,13,Rollover,5,12800,No
POL56944,1000,2489,150000,75,13,Hit & Run,4,2468,No
POL43593,2000,1202,150000,82,17,Rear-End,5,13966,Yes
POL68651,500,1187,50000,40,1,Rear-End,1,9113,No
POL52355,1000,2789,50000,40,4,Side Impact,3,4484,No
POL38628,2000,992,100000,73,21,Side Impact,1,17007,No
POL90258,2000,1014,50000,33,4,Rear-End,1,8525,Yes
POL54931,500,2577,100000,64,18,Rollover,2,18667,No
POL59710,1000,1164,150000,68,19,Hit & Run,1,15116,No
POL35408,2000,1969,150000,37,7,Rollover,4,6732,No
POL52023,2000,2965,150000,42,2,Rear-End,2,9229,Yes
POL51245,1000,1851,150000,64,11,Rollover,4,15785,Yes
POL16850,2000,2565,50000,84,18,Hit & Run,3,10212,No
POL18871,500,1664,50000,55,0,Rollover,2,17572,Yes
POL58884,500,782,100000,36,22,Hit & Run,3,1284,Yes
POL82421,500,2166,150000,37,1,Rollover,1,16648,Yes
POL91600,2000,2549,50000,76,7,Front Collision,3,17962,No
POL54801,2000,2945,150000,71,16,Rear-End,1,8248,No
POL56165,500,2307,150000,58,14,Rollover,3,3662,Yes
POL38440,500,2405,150000,37,21,Rollover,2,18032,Yes
POL46947,1000,2402,100000,70,2,Rear-End,4,1335,Yes
POL46358,500,659,100000,30,6,Side Impact,1,13436,Yes
POL70741,1000,1814,100000,63,8,Rear-End,1,19599,No
POL62953,2000,854,150000,80,15,Rollover,5,4441,Yes
POL30073,500,1988,50000,76,20,Rear-End,3,12647,No
POL31982,2000,2493,100000,51,22,Rollover,3,15216,Yes
POL29642,2000,2164,150000,66,10,Rear-End,1,15251,Yes
POL11038,500,783,50000,73,9,Rear-End,5,9583,No
POL66929,1000,1624,100000,20,15,Rear-End,1,15301,Yes
POL20260,1000,975,50000,84,20,Rollover,2,2813,Yes
POL83469,2000,1291,150000,67,2,Side Impact,4,6805,No
POL64099,2000,1484,50000,58,5,Front Collision,1,15091,No
POL95869,2000,631,50000,35,6,Front Collision,3,12752,No
POL66446,2000,2632,150000,38,19,Side Impact,2,12247,No
POL20559,1000,2812,150000,21,5,Hit & Run,2,18920,No
POL45776,500,850,150000,62,2,Hit & Run,1,3657,No
POL64521,2000,949,150000,51,10,Rear-End,5,11030,No
POL18627,1000,2096,50000,66,15,Rollover,2,19071,Yes
POL31573,2000,2083,100000,27,4,Rollover,4,14481,Yes
POL94310,500,579,100000,57,13,Rollover,1,19371,Yes
POL58668,2000,1949,100000,65,21,Rear-End,2,9620,Yes
POL81733,2000,1827,150000,82,13,Rear-End,2,7170,Yes
POL27318,1000,2459,50000,36,20,Rollover,5,5065,No
POL86109,2000,2202,100000,72,19,Rollover,4,9566,Yes
POL30655,1000,2651,150000,47,18,Front Collision,5,5961,Yes
POL89656,2000,1753,50000,64,8,Hit & Run,5,8102,No
POL24739,2000,2046,50000,63,16,Front Collision,5,5061,Yes
POL87913,1000,2586,50000,18,13,Rollover,4,10581,No
POL36760,500,2269,50000,58,13,Side Impact,4,4092,No
POL87379,1000,2846,150000,79,10,Rear-End,2,2350,Yes
POL83362,1000,1221,50000,83,23,Hit & Run,4,15887,Yes
POL26654,1000,1054,100000,68,13,Rollover,2,3681,No
POL41368,2000,1079,150000,25,0,Side Impact,1,19948,Yes
POL35505,500,1228,150000,60,7,Hit & Run,3,10735,Yes
POL67170,500,1130,150000,77,4,Rollover,1,8830,Yes
POL13407,1000,2054,100000,71,0,Hit & Run,3,11844,No
POL13679,2000,2526,50000,53,8,Rear-End,1,6102,Yes
POL92312,1000,2258,100000,47,6,Side Impact,1,8182,No
POL27729,1000,1702,100000,67,17,Side Impact,1,8444,Yes
POL52349,2000,1575,50000,48,23,Hit & Run,4,12244,Yes
POL33534,2000,2256,50000,27,15,Rear-End,3,16877,No
POL45214,500,1895,50000,70,2,Front Collision,2,2850,Yes
POL62527,2000,2040,100000,69,15,Side Impact,1,9575,No
POL76952,1000,2162,150000,31,0,Side Impact,5,13603,No
POL49958,1000,864,50000,30,20,Rear-End,3,15807,No
POL53596,1000,2711,100000,38,0,Rear-End,3,2606,Yes
POL49358,1000,941,50000,64,11,Rear-End,3,2390,Yes
POL90656,500,1374,100000,68,11,Rear-End,4,2463,No
POL82763,1000,2346,100000,32,2,Hit & Run,3,1871,No
POL64673,2000,2063,150000,20,21,Front Collision,1,15977,Yes
POL67689,2000,1027,50000,43,18,Hit & Run,1,16486,No
POL12502,1000,2419,100000,18,10,Rollover,2,3281,No
POL78985,1000,2138,50000,39,10,Side Impact,2,2152,No
POL88793,500,1707,100000,21,4,Hit & Run,3,17208,No
POL36771,2000,2534,150000,40,4,Side Impact,5,13044,Yes
POL36693,2000,2487,150000,21,6,Front Collision,1,17645,Yes
POL18889,1000,2833,50000,52,6,Hit & Run,5,15785,Yes
POL44294,1000,1272,150000,24,8,Front Collision,2,7851,Yes
POL88611,1000,2768,100000,74,7,Rear-End,4,15364,No
POL85500,1000,1925,100000,74,12,Hit & Run,4,1928,Yes
POL88961,500,1181,150000,21,5,Hit & Run,3,18710,No
POL57258,2000,1244,100000,50,23,Hit & Run,1,5455,Yes
POL24509,2000,2430,150000,70,20,Hit & Run,2,18812,No
POL70092,1000,1135,100000,84,2,Rear-End,4,18042,Yes
POL23519,2000,2224,150000,80,13,Rollover,5,7310,Yes
POL15525,500,1814,100000,20,17,Rear-End,3,11195,Yes
POL83014,2000,1824,150000,47,9,Hit & Run,3,10287,Yes
POL99854,1000,1560,50000,49,12,Rear-End,2,10181,No
POL98555,2000,2020,100000,32,2,Side Impact,3,18724,No
POL19897,500,1964,150000,28,1,Side Impact,5,5178,No
POL20297,1000,2714,50000,64,17,Hit & Run,2,14358,Yes
POL28336,500,1649,50000,74,6,Rear-End,1,15066,No
POL21149,500,2113,50000,44,6,Front Collision,3,15788,No
POL96188,1000,1880,100000,56,1,Hit & Run,3,7334,No
POL17731,2000,1615,100000,82,0,Rollover,5,18222,No
POL95408,500,1937,50000,73,12,Hit & Run,1,7306,No
POL54215,500,2655,50000,67,2,Side Impact,2,13976,Yes
POL93077,2000,708,150000,79,5,Side Impact,3,5284,No
POL92680,2000,2323,150000,19,17,Side Impact,4,14675,No
POL72372,1000,1835,50000,52,4,Side Impact,5,9576,Yes
POL88028,1000,2727,100000,70,23,Front Collision,1,13617,No
POL60671,1000,575,50000,33,6,Front Collision,2,18942,No
POL94227,1000,1247,150000,56,9,Front Collision,3,4554,Yes
POL70317,1000,627,100000,23,22,Rollover,1,3874,No
POL38160,2000,526,100000,33,16,Rear-End,4,14866,Yes
POL19090,2000,628,50000,57,16,Hit & Run,5,12086,No
POL56032,500,1361,150000,61,22,Front Collision,3,14622,Yes
POL96949,1000,2323,50000,30,4,Rear-End,4,8606,Yes
POL95419,1000,1755,100000,46,11,Hit & Run,3,4185,No
POL87614,1000,793,50000,34,7,Hit & Run,5,2625,Yes
POL38585,2000,1191,50000,49,16,Front Collision,5,19534,No
POL24211,500,1461,50000,29,5,Hit & Run,1,4564,No
POL72376,1000,2465,100000,56,7,Front Collision,2,3548,Yes
POL39491,2000,2527,150000,65,22,Side Impact,3,2323,No
POL25190,500,1396,150000,45,21,Rear-End,5,17784,Yes
POL84745,500,569,150000,22,12,Side Impact,3,7655,Yes
POL62976,2000,2009,150000,31,22,Rear-End,2,9906,No
POL81950,1000,1208,50000,65,0,Rollover,3,1401,Yes
POL15848,500,1942,150000,23,5,Front Collision,1,16698,Yes
POL43014,2000,1552,150000,18,15,Side Impact,3,7520,No
POL70201,2000,1663,50000,68,20,Front Collision,5,5476,No
POL81332,1000,2642,100000,80,6,Front Collision,5,1225,Yes
POL52886,2000,2477,50000,51,23,Front Collision,5,13356,No
POL80719,1000,2460,100000,44,17,Rollover,4,3160,No
POL79459,500,927,150000,29,21,Side Impact,2,3750,No
POL48541,2000,849,100000,20,6,Side Impact,5,16791,No
POL76891,2000,2954,50000,53,1,Side Impact,5,3726,No
POL57732,1000,2331,50000,56,22,Rollover,5,7415,Yes
POL86960,500,2565,100000,58,19,Rollover,2,6428,Yes
POL11130,2000,1460,150000,74,8,Side Impact,3,11173,No
POL64626,2000,983,50000,24,0,Side Impact,5,14285,Yes
POL39727,2000,2846,150000,28,22,Rear-End,2,17483,Yes
POL39342,500,1710,150000,64,21,Hit & Run,1,16227,No
POL26472,1000,1917,100000,82,8,Side Impact,1,19297,Yes
POL59972,2000,2098,100000,63,14,Hit & Run,4,17003,No
POL64299,500,1547,150000,75,2,Rear-End,2,18434,No
POL51525,500,1743,50000,36,9,Rear-End,5,15629,No
POL64970,500,2830,150000,42,21,Front Collision,4,4413,No
POL92211,1000,1469,50000,36,8,Rollover,2,14933,Yes
POL37049,1000,1473,150000,84,14,Hit & Run,5,10401,Yes
POL60448,500,1632,150000,35,17,Side Impact,1,8490,Yes
POL42572,2000,1381,50000,69,13,Hit & Run,5,2660,No
POL11421,500,944,50000,82,4,Side Impact,1,5176,Yes
POL76883,2000,1232,100000,19,23,Rear-End,1,3201,No
POL26357,2000,2699,50000,29,8,Side Impact,2,11079,No
POL95255,500,554,150000,20,12,Hit & Run,5,13174,No
POL42661,2000,1613,50000,23,4,Rear-End,1,4408,No
POL44435,2000,3000,150000,38,22,Rear-End,3,18545,Yes
